Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2024-08-27 16:54:00,Run,2981,1,8,2024,240,0.0366359423272097
2024-08-25 14:49:22,Run,6931,6,8,2024,238,1.8725862496646812
2024-08-24 11:54:05,Swim,67,5,8,2024,237,-1.3177841071870668
2024-08-23 17:52:20,Run,1574,4,8,2024,236,-0.6173342051218593
2024-08-22 14:54:25,Run,4881,3,8,2024,235,0.9197512800338417
2024-08-21 16:50:31,Run,4214,2,8,2024,234,0.6097313167441977
2024-08-20 17:24:23,Run,2701,1,8,2024,233,-0.09350737059797816
2024-08-19 11:44:30,Run,6532,0,8,2024,232,1.6871320287462885
2024-08-18 15:38:54,Run,3455,6,8,2024,231,0.2569499792077063
2024-08-17 11:43:27,Run,3085,5,8,2024,230,0.08497488712799377
2024-08-16 15:47:41,Run,1736,4,8,2024,229,-0.5420370026437149
2024-08-14 23:27:28,Run,1685,2,8,2024,227,-0.5657416774979456
2024-08-14 22:39:43,Swim,1852,2,8,2024,227,-0.4881204872889942
2024-08-13 23:53:25,Run,1634,1,8,2024,226,-0.5894463523521762
2024-08-13 22:19:29,Run,2944,1,8,2024,226,0.019438433119238447
2024-08-11 23:04:13,Run,1681,6,8,2024,224,-0.5676008676825911
2024-08-11 17:48:03,Swim,191,6,8,2024,224,-1.260149211463055
2024-08-11 17:18:01,Run,1677,6,8,2024,224,-0.5694600578672366
2024-08-11 17:07:02,Swim,257,6,8,2024,224,-1.2294725734164036
2024-08-10 01:13:36,Run,2406,5,8,2024,223,-0.2306226467155868
2024-08-09 00:29:09,Swim,465,4,8,2024,222,-1.1327946838148355
2024-08-08 23:38:19,Run,2862,3,8,2024,221,-0.018674965665995143
2024-08-07 21:49:55,Run,4227,2,8,2024,220,0.6157736848442957
2024-08-06 19:00:04,Run,1348,1,8,2024,219,-0.7223784505543324
2024-08-05 17:15:33,Ride,6714,0,8,2024,218,1.7717251821476607
2024-08-02 20:52:49,Ride,3520,4,8,2024,215,0.2871618197081963
2024-08-01 21:27:33,Run,1732,3,8,2024,214,-0.5438961928283604
2024-08-01 20:53:08,Swim,1108,3,8,2024,214,-0.8339298616330648
2024-07-31 16:57:01,Ride,10314,2,7,2024,213,3.444996348328648
2024-07-30 20:40:02,Run,2458,1,7,2024,212,-0.20645317431519478
2024-07-28 19:03:31,Run,1265,6,7,2024,210,-0.7609566468857274
2024-07-28 17:57:26,Swim,1290,6,7,2024,210,-0.7493367082316927
2024-07-28 11:16:13,Ride,5577,6,7,2024,210,1.2432503721621657
2024-07-27 21:28:11,Swim,1611,5,7,2024,209,-0.6001366959138881
2024-07-26 22:06:12,Run,3032,4,7,2024,208,0.06034061718144035
2024-07-24 22:59:44,Swim,1091,2,7,2024,206,-0.8418314199178084
2024-07-22 23:11:33,Hike,1348,0,7,2024,204,-0.7223784505543324
2024-07-20 08:52:55,Run,12299,5,7,2024,202,4.367619477458997
2024-07-19 00:37:29,Run,2866,4,7,2024,201,-0.0168157754813496
2024-07-16 21:41:05,Run,1500,1,7,2024,198,-0.6517292235378018
2024-07-14 14:56:59,Ride,11142,6,7,2024,196,3.829848716550275
2024-07-13 20:05:34,Run,4235,5,7,2024,195,0.6194920652135868
2024-07-10 21:46:23,Run,3041,2,7,2024,192,0.06452379509689281
2024-07-08 21:56:48,Run,4059,0,7,2024,190,0.537687697089183
2024-07-06 19:00:52,Swim,2437,5,7,2024,188,-0.21621392278458387
2024-07-03 16:50:47,Run,2213,2,7,2024,185,-0.3203285731247342
